109,9571,1410,207740,325,150032,8516,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,0,99.871203,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,7aHoU7YeiRAQMY5kawyEmQ==,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,PERCENTILE
110,9571,1410,207740,325,150032,8516,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,0,18.6666666666667,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,sBkGV0Bydkwj2cYX3BleLA==,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,RAW
111,9571,1410,207740,325,150032,8516,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,0,3.51205795443714,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,kFXV4jSpw+SpbDiStX41ZQ==,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,SCORE
112,9564,1411,207740,380,149713,11682,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Microsoft Windows XP,0,99.36817,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,Bdnp44r2bn2uflQIekDU6Q==,NULL,NULL,NULL,NULL,NULL,Microsoft Windows XP,PERCENTILE
113,9564,1411,207740,380,149713,11682,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Microsoft Windows XP,0,96.6666666666667,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,vsbI8hA2SxobeCs+kFA05g==,NULL,NULL,NULL,NULL,NULL,Microsoft Windows XP,RAW
114,9564,1411,207740,380,149713,11682,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Microsoft Windows XP,0,1.87228619826876,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,eU3siE7GaHi6PBFe5xjfZA==,NULL,NULL,NULL,NULL,NULL,Microsoft Windows XP,SCORE
115,9557,1412,207741,899,149964,12355,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Cognitive Index,0,95,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,kd75ScKJfiG4tCX8uf9MvQ==,NULL,NULL,NULL,NULL,NULL,Cognitive Index,PERCENTILE
116,9557,1412,207741,899,149964,12355,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Cognitive Index,0,35.3333333333333,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,FULwbYBpZRlgrrA7kls2mA==,NULL,NULL,NULL,NULL,NULL,Cognitive Index,RAW
117,9557,1412,207741,899,149964,12355,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Cognitive Index,0,35.3333333333333,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,ERXiNDb7Vm2qzbRydp/Osg==,NULL,NULL,NULL,NULL,NULL,Cognitive Index,SCORE
118,9586,1413,207741,538,149750,10823,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Total Number of Errors,0,18,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,F0DTjrBCMhofJJWM+CP6nA==,NULL,NULL,NULL,NULL,NULL,Split Screen Typing Test US - Form 1,SCORE
119,9587,1413,207741,538,149750,10823,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Total Keystrokes,0,1442,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,SWRU9i2c5KnYXyP+0ZoMxA==,NULL,NULL,NULL,NULL,NULL,Split Screen Typing Test US - Form 1,SCORE
120,9590,1413,207741,538,149750,10823,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Gross Number of Words,0,289,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,T9mPnu4iEzekx9fdHdT9tA==,NULL,NULL,NULL,NULL,NULL,Split Screen Typing Test US - Form 1,SCORE
121,9591,1413,207741,538,149750,10823,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Gross Words per Minute,0,48,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,NNSl3henOD183PtAF+wT3Q==,NULL,NULL,NULL,NULL,NULL,Split Screen Typing Test US - Form 1,SCORE
122,9592,1413,207741,538,149750,10823,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Error Rate,0,6,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,LeXFC7S4EUN24/GHV7bOIg==,NULL,NULL,NULL,NULL,NULL,Split Screen Typing Test US - Form 1,SCORE
123,9594,1413,207741,538,149750,10823,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Net Words per Minute,0,45,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,EIrP14hwxc7qLfX6n7pJbw==,NULL,NULL,NULL,NULL,NULL,Split Screen Typing Test US - Form 1,SCORE
124,9625,1414,207741,538,149750,9997,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,OVERALL,0,0,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,vfEpII+gSRziWkQRaFkxoQ==,NULL,NULL,NULL,NULL,NULL,C_3000v3US-ENGUS-ENG,SCORE
125,9618,1414,207741,538,149750,9997,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,customerFocus3,2,69.478094,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,ZDiNn7WKAmmsb2xgjEmzKQ==,NULL,NULL,NULL,NULL,NULL,C_3000v3US-ENGUS-ENG,PERCENTILE
126,9618,1414,207741,538,149750,9997,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,customerFocus3,2,57,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,co8zunhW1m4kUiiz3nCPVg==,NULL,NULL,NULL,NULL,NULL,C_3000v3US-ENGUS-ENG,RAW
127,9618,1414,207741,538,149750,9997,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,customerFocus3,2,0.610498585761598,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,OEZ3ptnG8yIE9UuBmdHsgQ==,NULL,NULL,NULL,NULL,NULL,C_3000v3US-ENGUS-ENG,SCORE
128,9617,1415,207741,538,149750,10035,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,OVERALL,0,0,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,vfEpII+gSRziWkQRaFkxoQ==,NULL,NULL,NULL,NULL,NULL,Corebiov2US-ENG,SCORE
129,9610,1415,207741,538,149750,10035,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,corebiov2,2,84.01405,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,s87qYJei1ZKrMNeYFuekTg==,NULL,NULL,NULL,NULL,NULL,Corebiov2US-ENG,PERCENTILE
130,9610,1415,207741,538,149750,10035,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,corebiov2,2,22,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,JvvqFS84LxSI1SVepCqIpQ==,NULL,NULL,NULL,NULL,NULL,Corebiov2US-ENG,RAW
131,9610,1415,207741,538,149750,10035,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,corebiov2,2,0.979385746140331,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,/QpcJzb0RBQMLXDoE/I1ZQ==,NULL,NULL,NULL,NULL,NULL,Corebiov2US-ENG,SCORE
132,9584,1416,207741,538,149750,11152,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,OVERALL,0,0,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,vfEpII+gSRziWkQRaFkxoQ==,NULL,NULL,NULL,NULL,NULL,Job Fit - Administrative,SCORE
133,9655,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,UseFieldsInsteadOfWords,0,12,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,Z/v9SPRNI4BHzU4zF7xwpw==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
134,9656,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Number of Incorrect Words,0,3,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,UWTQrqYtPi0Q6839yIAbVA==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
135,9659,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Gross Number of Keystrokes,0,337,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,+hfPvJxnU16zo3wmwvKcAQ==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
136,9661,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Gross Number of Words,0,53,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,X8WnoxUTimvixo4vDRVvoQ==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
137,9662,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Gross Number of Keystrokes per Hour,0,6707.9,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,5KZlTT8QJlLAVkEw+jYWfg==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
138,9663,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Number of Correct Words,0,50,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,uUxz9NU55UZnJZUQiXSMqA==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
139,9664,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Error Rate,0,5.7,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,KRAxhyXFQvEUuT37CZOTqQ==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
140,9667,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Accuracy Adjusted Keystrokes per Hour,0,6328.2,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,WZ6ueYRTx98soAXW2kDrMA==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
141,9668,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Proficiency Level,0,2.94713846153846,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,1rk9lY7DakFAsro68oQY9A==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
142,9669,1418,207741,212,151559,10481,211,1,assessment,0,NULL,NULL,NULL,NULL,NULL,NULL,Gross Number of Keystrokes per Minute,0,111.8,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,ob7sChXXbkMJpTjJWdabBw==,NULL,NULL,NULL,NULL,NULL,Data Entry Ten Key Split Screen,SCORE
143,9774,1419,207741,325,149577,8516,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,0,85.903718,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,4n7/lUFq1A39yRD68EsEvg==,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,PERCENTILE
144,9774,1419,207741,325,149577,8516,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,0,10,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,irUmQrCGqL9u2PcPKYFSJw==,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,RAW
145,9774,1419,207741,325,149577,8516,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,0,1.0337432084644,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,4c7Erb+h1Pzx7H0MU0+MVQ==,NULL,NULL,NULL,NULL,NULL,Math Problem Solving - US,SCORE
146,10303,1454,207742,899,151660,12355,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Cognitive Index,0,10,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,1sv5G0KyoEMqM+5FfT0cdQ==,NULL,NULL,NULL,NULL,NULL,Cognitive Index,PERCENTILE
147,10303,1454,207742,899,151660,12355,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Cognitive Index,0,9.33333333333333,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,aernvcq9EYQOByUAC6wMAA==,NULL,NULL,NULL,NULL,NULL,Cognitive Index,RAW
148,10303,1454,207742,899,151660,12355,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Cognitive Index,0,9.33333333333333,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,rNToc3dZHSZH1Kzi7xi40A==,NULL,NULL,NULL,NULL,NULL,Cognitive Index,SCORE
149,10310,1456,207742,653,149783,15653,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,corebiov2,0,99.96401,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,n8DrwkBBRJSW1RccYpQ2Ww==,NULL,NULL,NULL,NULL,NULL,Safety_Biodata - US,PERCENTILE
150,10310,1456,207742,653,149783,15653,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,corebiov2,0,27.5,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,0ZxEeJJ6ndiDxGof8x2C6A==,NULL,NULL,NULL,NULL,NULL,Safety_Biodata - US,RAW
151,10310,1456,207742,653,149783,15653,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,corebiov2,0,2.63803160353659,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,eqcCYOGxKNWS1NDi/Eghkg==,NULL,NULL,NULL,NULL,NULL,Safety_Biodata - US,SCORE
152,10311,1456,207742,653,149783,15653,128,1,assessment,0,Entry Level,NULL,NULL,NULL,NULL,NULL,Safety Orientation,1,60.207697,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,kdMblEXYTSL9oLQzKicyRw==,NULL,NULL,NULL,NULL,NULL,Safety_Biodata - US,PERCENTILE
153,10311,1456,207742,653,149783,15653,129,1,assessment,0,Entry Level,NULL,NULL,NULL,NULL,NULL,Safety Orientation,1,27.5,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,WD3Hpy3PdKTq37zQkyWfqg==,NULL,NULL,NULL,NULL,NULL,Safety_Biodata - US,RAW
154,10311,1456,207742,653,149783,15653,211,1,assessment,0,Entry Level,NULL,NULL,NULL,NULL,NULL,Safety Orientation,1,0.346178252091145,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,ZyDKhH59NoFfQ8czu5bP2Q==,NULL,NULL,NULL,NULL,NULL,Safety_Biodata - US,SCORE
155,10329,1457,207742,653,149783,15654,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Safety SJT,0,8.514509,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,DOhZVpOM1eYLW8c/mDhCiA==,NULL,NULL,NULL,NULL,NULL,Safety Situational Judgment - US,PERCENTILE
156,10329,1457,207742,653,149783,15654,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Safety SJT,0,8,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,gxblUAG2VxqI2+j/NGZlVw==,NULL,NULL,NULL,NULL,NULL,Safety Situational Judgment - US,RAW
157,10329,1457,207742,653,149783,15654,211,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Safety SJT,0,-1.45816622324584,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,zHSTuWsD7aizsBMsBUL+GA==,NULL,NULL,NULL,NULL,NULL,Safety Situational Judgment - US,SCORE
158,10351,1458,207742,324,150064,11899,128,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Math-Basic Skills - US,0,55.899377,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,IkKgvTpGOPqIppj2pwLIiw==,NULL,NULL,NULL,NULL,NULL,Math-Basic Skills - US,PERCENTILE
159,10351,1458,207742,324,150064,11899,129,1,assessment,0,All,NULL,NULL,NULL,NULL,NULL,Math-Basic Skills - US,0,57,0,20,2016-06-07 14:50:36.000,NULL,20160520,NULL,kzMxdRpbUkkSXOrB+xGL0A==,NULL,NULL,NULL,NULL,NULL,Math-Basic Skills - US,RAW
